title,publication date,subject,journal,DOI,author,abstract,from_database,topics
An evaluation of a behavioural parenting intervention for parents of gifted children.,2009-02-25,,Behaviour research and therapy,10.1016/j.brat.2009.02.008,,"Parents of gifted children identify a need for tailored parenting support, and gifted children have unique requirements and vulnerabilities. The aim of this study was to assess the efficacy of a tailored behavioural parenting intervention, for enhancing the parenting skills of parents of gifted children and to assess the effect of these changes on the behavioural and emotional adjustment of their gifted child. A randomised controlled trial of tailored Group Triple P - Positive Parenting Program was conducted with 75 parents of children identified as gifted. Results indicated significant intervention effects for the number and frequency of parent reported child behaviour problems, as well as hyperactivity in the intervention group, relative to a waitlist control. Parents also reported significant improvements in their own parenting style, including less permissiveness, harshness, and verbosity when disciplining their child. No intervention effects were evident for teacher reports, except for a trend in relation to hyperactivity. This study demonstrated that a tailored behavioural parenting intervention is effective and acceptable for parents of gifted children, and thus has clinical implications for the delivery of parenting interventions for this population.",pubmed,9
Parenting gifted and talented children: what are the key child behaviour and parenting issues?,,,The Australian and New Zealand journal of psychiatry,10.1080/00048670802277271,,"The literature on gifted and talented children is limited. Little is known about the types and nature of difficulties experienced by gifted and talented children, and even less known about parenting issues related to parenting a gifted and talented child. The aim of the present study was to describe children's behavioural and emotional adjustment, and the factors that contribute to children's difficulties, as well as to examine the styles of discipline used by parents of gifted and talented children and their level of confidence in managing specific parenting tasks.",pubmed,9
[Gifted children and the family physician].,,,"Presse medicale (Paris, France : 1983)",,,"Gifted children account for about 2% of the population but are not always identified. Nonsynchronous intellectual, biological and affective development may cause problems and disrupt relationships at home and in school. GP's are consulted for mood or behavior disorders or somatization. If maladjustment at school appears to be related to mood or behavior disorders, a complete psychological assessment is essential. It is especially important to rule out the differential diagnosis of ADHD because of the differences in treatment. A substantial portion of management depends on teachers and the overall school environment. GP's are involved in long-term support of children and families, and in treatment of related disorders: depression, anxiety, sleep disorders, and somatization. Drug therapy has a very limited role in treatment of related disorders.",pubmed,2
Development and validation of a music performance anxiety inventory for gifted adolescent musicians.,,,Journal of anxiety disorders,,,"Music performance anxiety (MPA) is a distressing experience for musicians of all ages, yet the empirical investigation of MPA in adolescents has received little attention to date. No measures specifically targeting MPA in adolescents have been empirically validated. This article presents findings of an initial study into the psychometric properties and validation of the Music Performance Anxiety Inventory for Adolescents (MPAI-A), a new self-report measure of MPA for this group. Data from 381 elite young musicians aged 12-19 years was used to investigate the factor structure, internal reliability, construct and divergent validity of the MPAI-A. Cronbach's alpha for the full measure was .91. Factor analysis identified three factors, which together accounted for 53% of the variance. Construct validity was demonstrated by significant positive relationships with social phobia (measured using the Social Phobia Anxiety Inventory [Beidel, D. C., Turner, S. M., & Morris, T. L. (1995). A new inventory to assess childhood social anxiety and phobia: The Social Phobia and Anxiety Inventory for Children. Psychological Assessment, 7(1), 73-79; Beidel, D. C., Turner, S. M., & Morris, T. L. (1998). Social Phobia and Anxiety Inventory for Children (SPAI-C). North Tonawanda, NY: Multi-Health Systems Inc.]) and trait anxiety (measured using the State Trait Anxiety Inventory [Spielberger, C. D. (1983). State-Trait Anxiety Inventory STAI (Form Y). Palo Alto, CA: Consulting Psychologists Press, Inc.]). The MPAI-A demonstrated convergent validity by a moderate to strong positive correlation with an adult measure of MPA. Discriminant validity was established by a weaker positive relationship with depression, and no relationship with externalizing behavior problems. It is hoped that the MPAI-A, as the first empirically validated measure of adolescent musicians' performance anxiety, will enhance and promote phenomenological and treatment research in this area.",pubmed,2
"Behavioural, academic and neuropsychological profile of normally gifted Neurofibromatosis type 1 children.",,,Journal of intellectual disability research : JIDR,,,"In the present study the neuropsychological, academic and social-emotional profiles were examined in Neurofibromatosis type 1 (NF1) children.",pubmed,9
Aggression and sexual offense in Asperger's syndrome.,,,The Israel journal of psychiatry and related sciences,,,"Asperger's Syndrome is one of the diagnostic subcategories of pervasive developmental disorders. It is characterized by a defect in reciprocal social interaction, lack of empathy for others and poor non-verbal communication. Antisocial acts, including aggression and sexual offense, are not considered to be common in this disorder. We describe an adolescent with Asperger's Syndrome whose main problems are his violence and sexual offenses. We assume that these symptoms are secondary to his diagnosis of Asperger's as a manifestation of his difficulties with the ""theory of mind"" of others. This atypical case report is in contrast with the low prevalence of aggression and sexual offense in Asperger's, as reported in the literature. We discuss the reasons for this low prevalence. Our conclusions are based on one case history and a literature review. We call for further research in this field.",pubmed,2
Personality assessment with children of superior intelligence: divergence versus psychopathology.,,,Journal of personality assessment,,,"The perceptual and cognitive functioning of children with intelligence quotients greater than 135 was examined with the Rorschach Inkblot Test. A criterion measure, the Child Behavior Checklist, was also administered so as to determine whether deviations for Rorschach variables from age-appropriate norms indicated the presence of psychopathology or were evidence of nonentrenched, novel, or creative styles of encoding and processing information. Rorschach variables indicative of intellectual sophistication, nonentrenched thinking or inaccurate reality perception, and cognitive slippage were reliably elevated for this sample versus norms. Results for the Child Behavior Checklist demonstrated that the incidence of psychopathology in the intellectually superior and average samples were comparable. There was a lack of covariance between Rorschach makers of inaccurate reality perception, cognitive slippages, and schizophrenia, and the sum of behavior problems on the Child Behavior Checklist. Results for the Rorschach and Child Behavior Checklist variables were comparable for children with intelligence quotients greater than 150 versus between 136 and 140. It was concluded that the intellectually superior children did process the Rorschach stimuli in a manner that was nonentrenched and reliably different from norms, but that these differences should not routinely be considered as indications of psychopathology.",pubmed,9
"New perspectives in autism, Part II: The differential diagnosis and neurobiology of autism.",,,Current problems in pediatrics,,,"The clinical spectrum of autism spans a broad range of functions, but the core symptoms remain the same regardless of the intelligence of the child: the autistic type of social deficit that ranges from a lack of inclination to relate to extreme difficulty with the mechanics of social interactions, a global communication deficit that involves both verbal and nonverbal modes, and a severe cognitive deficit involving concept formation (abstraction) that is combined with an exceptional memory for factual information. These symptoms may vary dramatically in severity, but the basic deficits are identifiable regardless of IQ. Under-recognition of autism is a major problem at all IQs, but especially in patients with IQs above 50. No drugs have been found to significantly improve the core deficits in autism. Antipsychotics should be avoided except for short-term use. Antidepressants, anxiolytics, and anticonvulsants are important in the treatment of depression, affective modulation, situation-related stress, and seizures. Intensive social skills training is assuming a prominent role in behavior modification programs, and success with higher-functioning autistic children suggests that outcome can be improved by intensive training. The neurobiology of autism has also undergone dramatic changes. The psychogenic theories of etiology have been completely invalidated. Autism is now considered to be a neurological disorder resulting from an error in brain development. The precise location and nature of this deficit are still being actively debated and investigated. One theory emphasizes a dysfunction of the limbic system that results in an impairment in the acquisition of information. A second theory proposes a primary role for dysfunction of the cortical association network responsible for the processing of information.",pubmed,1
Current status of the neuromaturational examination as an index of learning disability.,,,The Journal of pediatrics,,,"To further define the role of the neuromaturational examination in determining the presence of learning problems, we examined 104 boys, ages 9.5 to 14.1 years, representing three populations of school children: normal (32 boys), gifted (37), and learning disabled (35). Information concerning each child's behavior and development was obtained through a parent questionnaire; cognitive ability and academic achievement were measured by the Wechsler Intelligence Scales for Children (revised) and Woodcock -Johnson Psychoeducational Battery, respectively. Significant relationships emerged between the number of neuromaturational signs and data group membership (LD greater than N greater than G,P less than 0.05). The number of neuromaturational signs decreased with age for normal (P less than 0.05) and gifted (P less than 0.05) children, but not for the learning-disabled group. Tasks that differentiated the normal and learning disabled were entered into a stepwise discriminant analysis, with a resulting classification accuracy of 93.1% and 100% for the normal and learning-disabled boys, respectively. Analysis of covariance indicated that differences in performance of the three groups may reflect IQ differences among the populations. Learning disabled boys were more likely to exhibit synkinesis than normal boys, but gifted boys did not differ from the learning disabled in the frequency of synkinesis. Our data indicate that, although a composite set of neuromaturational tasks can discriminate normal and learning-disabled boys with a high level of accuracy, caution is urged because the findings may be more related to overall intelligence than to a specific learning disability.",pubmed,1
Special problems of precocious youth.,,,International psychiatry clinics,,,,pubmed,1
